entidad,nom_ent,mun,nom_mun,loc,nom_loc,latitud,longitud,altitud,tamloc,pobtot,pob0_14,pob15_64,pob65_mas,vivtot,tvivparhab,vph_aguadv,vph_aguafv,vph_tinaco,vph_cister,vph_drenaj,vph_nodren,vph_c_serv,vph_excsa,cve_alcaldia
9,Ciudad de México,009,Milpa Alta,46,Xoctonco,19.18405111111111,-99.08698055555556,2866,2.0,394,96.0,284.0,14.0,126,107.0,10.0,96.0,87.0,12.0,102.0,4.0,9.0,99.0,009
9,Ciudad de México,009,Milpa Alta,50,Cozcatlán,19.181181666666667,-99.0176738888889,2539,1.0,27,9.0,17.0,1.0,8,6.0,6.0,0.0,5.0,5.0,6.0,0.0,6.0,6.0,009
9,Ciudad de México,009,Milpa Alta,52,La Herradura (Séptima Curva),19.185610555555556,-99.0513286111111,2601,1.0,102,28.0,70.0,4.0,35,31.0,30.0,1.0,18.0,2.0,24.0,7.0,24.0,23.0,009
9,Ciudad de México,009,Milpa Alta,54,Zangahco,19.173942222222223,-99.06566388888889,2805,1.0,72,19.0,52.0,1.0,23,18.0,0.0,18.0,17.0,3.0,17.0,1.0,0.0,16.0,009
9,Ciudad de México,009,Milpa Alta,56,Hueycotzingo,19.191315555555555,-99.05240222222221,2546,1.0,110,29.0,78.0,3.0,28,25.0,24.0,1.0,20.0,1.0,25.0,0.0,24.0,23.0,009
9,Ciudad de México,009,Milpa Alta,66,Cuauhtec (El Mirador Santa Ana Tlacotenco),19.161441944444444,-98.99002666666667,2717,1.0,16,4.0,11.0,1.0,3,3.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,009
9,Ciudad de México,009,Milpa Alta,67,La Mora,19.19006361111111,-99.03483638888889,2516,1.0,182,48.0,126.0,8.0,47,44.0,34.0,10.0,37.0,6.0,44.0,0.0,34.0,33.0,009
9,Ciudad de México,009,Milpa Alta,68,Metenco,19.204945277777778,-99.08104055555555,2636,2.0,464,102.0,336.0,26.0,170,130.0,28.0,102.0,109.0,56.0,117.0,13.0,27.0,109.0,009
9,Ciudad de México,009,Milpa Alta,72,Tamasquititla,19.173890833333335,-99.02406694444444,2665,1.0,11,0.0,9.0,2.0,5,4.0,0.0,4.0,4.0,1.0,4.0,0.0,0.0,2.0,009
9,Ciudad de México,009,Milpa Alta,74,San Agustín Xolco,19.177268333333334,-99.00873,2613,1.0,38,7.0,30.0,1.0,14,9.0,9.0,0.0,9.0,5.0,9.0,0.0,9.0,9.0,009
9,Ciudad de México,009,Milpa Alta,77,San Marcos (Tezocotitla),19.169585,-99.02613333333333,2740,1.0,195,54.0,126.0,15.0,81,54.0,52.0,2.0,38.0,6.0,53.0,1.0,52.0,41.0,009
9,Ciudad de México,009,Milpa Alta,81,Cuyucalco,19.183165555555558,-99.05987194444444,2672,1.0,120,31.0,85.0,4.0,39,34.0,30.0,4.0,25.0,5.0,34.0,0.0,30.0,33.0,009
9,Ciudad de México,009,Milpa Alta,82,Iztahuaca,19.18531861111111,-99.05892972222222,2651,1.0,84,22.0,61.0,1.0,27,22.0,21.0,1.0,15.0,5.0,20.0,2.0,20.0,19.0,009
9,Ciudad de México,009,Milpa Alta,83,Tzotzomaco,19.19812027777778,-99.03909388888889,2494,1.0,25,6.0,17.0,2.0,8,8.0,6.0,2.0,8.0,1.0,8.0,0.0,6.0,7.0,009
9,Ciudad de México,009,Milpa Alta,84,Tlatepexco,19.19563888888889,-99.07775694444445,2628,1.0,156,44.0,108.0,4.0,52,40.0,34.0,6.0,29.0,9.0,39.0,1.0,33.0,40.0,009
9,Ciudad de México,009,Milpa Alta,88,San Paocotitla,19.186580555555555,-99.050935,2589,1.0,197,47.0,142.0,8.0,58,51.0,43.0,7.0,18.0,5.0,47.0,3.0,41.0,46.0,009
9,Ciudad de México,009,Milpa Alta,90,Tlacopac,19.172800555555558,-99.04077861111111,2719,1.0,110,32.0,75.0,3.0,32,28.0,26.0,2.0,23.0,5.0,27.0,1.0,24.0,26.0,009
9,Ciudad de México,009,Milpa Alta,92,Tecolotzitzatzian (Tiapa),19.16406111111111,-99.0433861111111,2823,1.0,15,5.0,9.0,1.0,7,5.0,1.0,4.0,4.0,0.0,3.0,2.0,1.0,3.0,009
9,Ciudad de México,009,Milpa Alta,95,Tepetlapa,19.185500833333332,-99.00985777777778,2453,1.0,225,49.0,163.0,13.0,71,56.0,49.0,7.0,40.0,8.0,46.0,10.0,42.0,40.0,009
9,Ciudad de México,009,Milpa Alta,96,Tequianquiztunco,19.1663075,-99.07217444444444,2915,1.0,18,6.0,12.0,0.0,6,5.0,0.0,5.0,5.0,1.0,5.0,0.0,0.0,4.0,009
9,Ciudad de México,009,Milpa Alta,98,Tetexipezco,19.202131944444442,-99.03674305555555,2451,1.0,35,13.0,20.0,2.0,9,9.0,0.0,9.0,9.0,1.0,8.0,1.0,0.0,9.0,009
9,Ciudad de México,009,Milpa Alta,99,Tetlicuili (El Encinal),19.163473611111108,-98.98329333333334,2693,1.0,15,4.0,9.0,2.0,7,5.0,2.0,3.0,5.0,0.0,4.0,1.0,1.0,1.0,009
9,Ciudad de México,009,Milpa Alta,101,Texcalatlautenco,19.20171388888889,-99.05887527777777,2492,1.0,40,14.0,26.0,0.0,11,9.0,8.0,1.0,8.0,1.0,9.0,0.0,8.0,9.0,009
9,Ciudad de México,009,Milpa Alta,103,Tezompa,19.188860277777778,-99.05300111111112,2573,1.0,226,67.0,153.0,6.0,65,51.0,49.0,2.0,40.0,5.0,50.0,1.0,48.0,46.0,009
9,Ciudad de México,009,Milpa Alta,104,Teziuhtepec,19.17193166666667,-99.07104527777777,2851,1.0,138,34.0,100.0,4.0,37,34.0,0.0,34.0,31.0,3.0,34.0,0.0,0.0,30.0,009
9,Ciudad de México,009,Milpa Alta,105,Tetzumpa,19.16783888888889,-99.07032833333334,2889,1.0,18,4.0,13.0,1.0,5,5.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,009
9,Ciudad de México,009,Milpa Alta,109,Tlaxala,19.202795277777778,-99.03741555555555,2448,1.0,69,20.0,45.0,4.0,22,13.0,12.0,1.0,12.0,3.0,12.0,1.0,12.0,11.0,009
9,Ciudad de México,009,Milpa Alta,112,Tetepanco,19.20584861111111,-99.05460416666666,2543,1.0,153,46.0,103.0,4.0,39,33.0,6.0,27.0,28.0,12.0,32.0,1.0,6.0,32.0,009
9,Ciudad de México,009,Milpa Alta,113,Copexalco,19.213945,-99.0609586111111,2577,1.0,69,13.0,45.0,11.0,30,19.0,18.0,1.0,16.0,11.0,19.0,0.0,17.0,19.0,009
9,Ciudad de México,009,Milpa Alta,115,San José,19.206573055555555,-99.06011277777777,2585,2.0,313,79.0,212.0,22.0,113,88.0,14.0,74.0,62.0,28.0,85.0,3.0,14.0,83.0,009
9,Ciudad de México,009,Milpa Alta,116,Hueytepetl (Bugambilias),19.189315555555556,-98.99011,2460,1.0,249,62.0,175.0,12.0,72,63.0,54.0,9.0,52.0,15.0,63.0,0.0,54.0,59.0,009
9,Ciudad de México,009,Milpa Alta,117,Ocoximalipa,19.173900555555555,-99.06929083333333,2831,1.0,144,38.0,101.0,5.0,40,33.0,1.0,32.0,30.0,8.0,33.0,0.0,1.0,31.0,009
9,Ciudad de México,009,Milpa Alta,120,Corralixpa,19.17644527777778,-99.07656416666666,2857,1.0,245,57.0,178.0,10.0,77,60.0,11.0,49.0,56.0,10.0,59.0,1.0,11.0,53.0,009
9,Ciudad de México,009,Milpa Alta,126,Coyocalli,19.197457777777778,-99.03650305555556,2473,1.0,44,17.0,27.0,0.0,11,10.0,8.0,2.0,4.0,1.0,9.0,1.0,7.0,6.0,009
9,Ciudad de México,009,Milpa Alta,129,Tlapalan,19.179769444444446,-99.01042138888889,2568,1.0,36,13.0,23.0,0.0,10,9.0,9.0,0.0,8.0,1.0,9.0,0.0,9.0,5.0,009
9,Ciudad de México,009,Milpa Alta,131,Texalco,19.192904444444444,-99.03553027777778,2470,1.0,157,50.0,102.0,5.0,42,37.0,16.0,21.0,33.0,6.0,37.0,0.0,16.0,28.0,009
9,Ciudad de México,009,Milpa Alta,134,Queapilco,19.19023111111111,-99.10104416666667,2779,1.0,59,12.0,45.0,2.0,22,16.0,2.0,14.0,15.0,6.0,16.0,0.0,2.0,16.0,009
9,Ciudad de México,009,Milpa Alta,138,Barranca Seca (Pozo Ocho),19.20742222222222,-98.99744583333333,2281,2.0,265,77.0,173.0,15.0,74,66.0,66.0,0.0,62.0,24.0,66.0,0.0,66.0,66.0,009
9,Ciudad de México,009,Milpa Alta,139,Teatlaco,19.190366666666666,-98.99120638888888,2440,1.0,165,35.0,123.0,7.0,44,40.0,39.0,1.0,34.0,7.0,40.0,0.0,39.0,39.0,009
9,Ciudad de México,009,Milpa Alta,140,Tlaloxtoc (Ejidos de Tecoxpa),19.196751944444443,-98.98054777777779,2334,1.0,19,7.0,10.0,2.0,8,6.0,0.0,6.0,4.0,0.0,5.0,1.0,0.0,6.0,009
9,Ciudad de México,009,Milpa Alta,141,Tezquizco,19.204729444444443,-99.08602083333332,2630,1.0,11,3.0,8.0,0.0,5,3.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,2.0,009
9,Ciudad de México,009,Milpa Alta,142,Atuzanco,19.20912,-99.05530916666666,2553,1.0,20,5.0,14.0,1.0,6,6.0,2.0,4.0,4.0,0.0,5.0,1.0,2.0,6.0,009
9,Ciudad de México,009,Milpa Alta,147,El Potrero,19.210744444444444,-99.09307388888888,2568,1.0,23,8.0,14.0,1.0,9,8.0,8.0,0.0,8.0,4.0,8.0,0.0,8.0,8.0,009
9,Ciudad de México,009,Milpa Alta,151,Miquixpa,19.187424444444446,-99.10078722222222,2821,1.0,50,17.0,33.0,0.0,13,9.0,2.0,7.0,8.0,4.0,9.0,0.0,2.0,9.0,009
9,Ciudad de México,009,Milpa Alta,152,San Lorenzo Tlacoyucan,19.1763225,-99.03142222222222,2616,5.0,4288,1038.0,2920.0,330.0,1244,1112.0,1096.0,11.0,969.0,137.0,1083.0,24.0,1075.0,1068.0,009
9,Ciudad de México,009,Milpa Alta,154,Rinconada del Teoca,19.208951388888888,-99.08936138888889,2603,1.0,134,36.0,94.0,4.0,36,32.0,5.0,27.0,28.0,8.0,30.0,2.0,5.0,30.0,009
9,Ciudad de México,009,Milpa Alta,155,Tepexomulco,19.204552777777778,-99.05616055555555,2515,1.0,123,34.0,82.0,7.0,29,25.0,23.0,2.0,24.0,4.0,25.0,0.0,23.0,24.0,009
9,Ciudad de México,009,Milpa Alta,156,Temoclaluca,19.195770555555555,-99.07999,2649,1.0,32,8.0,24.0,0.0,15,9.0,8.0,1.0,9.0,2.0,9.0,0.0,8.0,8.0,009
9,Ciudad de México,009,Milpa Alta,158,Malacaxco,19.197931666666666,-99.06500666666666,2534,2.0,314,92.0,213.0,9.0,106,75.0,49.0,26.0,54.0,14.0,75.0,0.0,46.0,66.0,009
9,Ciudad de México,009,Milpa Alta,159,Cuatlixco,19.194846388888887,-99.06376444444444,2543,1.0,13,3.0,10.0,0.0,8,3.0,3.0,0.0,3.0,1.0,3.0,0.0,2.0,3.0,009
9,Ciudad de México,009,Milpa Alta,161,Coametzu,19.188489722222222,-99.05808416666666,2617,2.0,302,90.0,205.0,7.0,88,72.0,64.0,8.0,51.0,17.0,67.0,5.0,60.0,66.0,009
9,Ciudad de México,009,Milpa Alta,163,Cuauhtunco,19.217092777777776,-99.04512222222222,2493,2.0,260,64.0,186.0,10.0,72,67.0,25.0,42.0,50.0,29.0,63.0,4.0,25.0,60.0,009
9,Ciudad de México,009,Milpa Alta,166,La Era,19.216184444444444,-99.03681527777778,2539,1.0,7,1.0,6.0,0.0,5,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,009
9,Ciudad de México,009,Milpa Alta,167,Tepetenco,19.204425277777776,-99.03740277777777,2477,2.0,303,83.0,204.0,16.0,97,71.0,15.0,56.0,59.0,28.0,32.0,39.0,9.0,61.0,009
9,Ciudad de México,009,Milpa Alta,168,San Isidro Cuatepec,19.2190375,-99.0077125,2375,4.0,1063,287.0,741.0,35.0,314,277.0,54.0,223.0,227.0,81.0,254.0,23.0,54.0,254.0,009
9,Ciudad de México,009,Milpa Alta,169,Xaluis,19.184978333333333,-99.05528749999999,2623,1.0,191,57.0,127.0,7.0,55,47.0,46.0,1.0,42.0,4.0,47.0,0.0,46.0,44.0,009
9,Ciudad de México,009,Milpa Alta,171,Tepetipac,19.207047499999998,-98.99440416666667,2280,2.0,277,74.0,192.0,11.0,79,61.0,9.0,52.0,53.0,32.0,61.0,0.0,9.0,60.0,009
9,Ciudad de México,009,Milpa Alta,172,Tlatlalahuaya,19.183562777777777,-99.05428611111111,2640,1.0,48,15.0,29.0,4.0,25,13.0,11.0,2.0,5.0,2.0,12.0,1.0,11.0,11.0,009
9,Ciudad de México,009,Milpa Alta,173,Texunco (Camino Real a Tlaltenami),19.17989638888889,-99.06171527777778,2718,1.0,65,16.0,42.0,7.0,22,18.0,17.0,1.0,9.0,9.0,17.0,1.0,17.0,16.0,009
9,Ciudad de México,009,Milpa Alta,174,Mecalco (Camino al Mirador),19.1808525,-99.02020777777777,2521,1.0,232,60.0,154.0,18.0,61,56.0,18.0,38.0,51.0,18.0,55.0,1.0,18.0,52.0,009
9,Ciudad de México,009,Milpa Alta,176,Zacatonco,19.18097138888889,-99.01663777777777,2543,2.0,359,92.0,253.0,14.0,116,92.0,74.0,18.0,70.0,7.0,92.0,0.0,74.0,85.0,009
9,Ciudad de México,009,Milpa Alta,178,Xali,19.170223055555557,-99.03151777777778,2726,1.0,84,31.0,49.0,4.0,19,18.0,17.0,1.0,16.0,1.0,16.0,2.0,15.0,17.0,009
9,Ciudad de México,009,Milpa Alta,185,Zacazontlipac,19.195853888888887,-99.10516638888889,2681,2.0,363,74.0,266.0,23.0,125,110.0,16.0,94.0,107.0,34.0,110.0,0.0,16.0,110.0,009
