columna,pct_nulos,accion
TOKUTION,100.0,DROP
TOLUENO,96.01,DROP
TOXAFENO,100.0,DROP
"TRANS_1,2_DICLOROETILENO",96.28,DROP
TRIALATO,100.0,DROP
TRICLORANATO,100.0,DROP
TRICLORFON,100.0,DROP
TRICLOROETILENO,96.28,DROP
TRICLOROFLUOROMETANO,94.68,FLAG
TRIFLURALIN,100.0,DROP
TURBIEDAD,11.97,IMPUTE
AS_TOT,6.65,IMPUTE
CD_TOT,7.45,IMPUTE
CR_TOT,8.24,IMPUTE
HG_TOT,8.78,IMPUTE
NI_TOT,11.17,IMPUTE
PB_TOT,7.98,IMPUTE
CN_TOT,51.86,FLAG
CU_TOT,96.81,DROP
ZN_TOT,96.01,DROP
POT_REDOX_CAMPO,96.01,DROP
POT_REDOX_CAMPO_FON,93.09,FLAG
POT_REDOX_CAMPO_MED,91.22,FLAG
POT_REDOX_CAMPO_SUP,67.29,FLAG
ACENAF_8310,100.0,DROP
ACENAFTIL_8310,100.0,DROP
ANTRA_8310,100.0,DROP
BEN_A_ANT_8310,100.0,DROP
BEN_A_PIR_8310,100.0,DROP
BEN_B_FANT_8310,100.0,DROP
"BEN_G,H,I_PER_8310",100.0,DROP
BEN_K_FANT_8310,100.0,DROP
CRISENO_8310,100.0,DROP
DIBEN_ANT_8310,100.0,DROP
FENANTRENO_8310,100.0,DROP
FLUORANTENO_8310,100.0,DROP
FLUORENO_8310,100.0,DROP
IND_PIR_8310,100.0,DROP
NAFTALENO_8310,100.0,DROP
PIRENO_8310,100.0,DROP
HAPS_8310,100.0,DROP
"1,2_DICLBENC",96.28,DROP
"1,3_DICLBEN",96.28,DROP
"1,4_DICLBEN",96.28,DROP
DICLOROBENCENOS,96.28,DROP
BR_DICLMET,96.28,DROP
BROMOF,96.01,DROP
CLOROFORMO,96.28,DROP
DIBR_CLMET,96.28,DROP
THMs,96.28,DROP
"M,P_XILENO",96.01,DROP
O_XILENO,96.01,DROP
XILEN_ISOMEROS,96.01,DROP
ALFA_BHC,100.0,DROP
BETA_BHC,100.0,DROP
GAMA_BHC_LIN,100.0,DROP
DELTA_BHC,100.0,DROP
BHC_ISOMEROS,100.0,DROP
CA_TOT,93.88,FLAG
MG_TOT,95.21,DROP
DUR_TOT,5.85,IMPUTE
TEMP_AMB,5.05,IMPUTE
TEMP_AGUA,34.31,FLAG
TEMP_AGUA_SUP,69.41,FLAG
TEMP_AGUA_MED,92.29,FLAG
TEMP_AGUA_FON,93.62,FLAG
TEMP_AGUA_0.5,67.02,FLAG
TEMP_AGUA_1,82.45,FLAG
TEMP_AGUA_2,92.29,FLAG
TEMP_AGUA_3,98.14,DROP
TEMP_AGUA_4,99.47,DROP
TEMP_AGUA_5,100.0,DROP
TEMP_AGUA_6,100.0,DROP
TEMP_AGUA_7,100.0,DROP
TEMP_AGUA_8,100.0,DROP
TEMP_AGUA_9,100.0,DROP
TEMP_AGUA_10,100.0,DROP
TEMP_AGUA_11,100.0,DROP
TEMP_AGUA_12,100.0,DROP
TEMP_AGUA_13,100.0,DROP
TEMP_AGUA_14,100.0,DROP
TEMP_AGUA_15,100.0,DROP
TEMP_AGUA_16,100.0,DROP
TEMP_AGUA_17,100.0,DROP
TEMP_AGUA_18,100.0,DROP
TEMP_AGUA_19,100.0,DROP
TEMP_AGUA_20,100.0,DROP
TEMP_AGUA_21,100.0,DROP
TEMP_AGUA_22,100.0,DROP
TEMP_AGUA_23,100.0,DROP
TEMP_AGUA_24,100.0,DROP
