clave_sitio,clave_de_monitoreo,nombre_del_sitio,tipo_cuerpo_de_agua,fecha_realización,año,alc_fen,alc_tot,co3,hco3,clorof_a,coli_fec,coli_tot,e_coli,cot,cot_sol,dbo_sol,dbo_tot,dqo_sol,dqo_tot,n_nh3,n_no2,n_no3,n_org,n_tot,n_totk,tox_d_48_ut,tox_d_48_sup_ut,tox_d_48_fon_ut,tox_fis_sup_15_ut,tox_fis_sup_30_ut,tox_fis_sup_5_ut,tox_fis_fon_15_ut,tox_fis_fon_30_ut,tox_fis_fon_5_ut,tox_v_15_ut,tox_v_30_ut,tox_v_5_ut,p_tot,po4_tot,orto_po4,color_ver,transparencia,abs_uv,sdt,conduc_campo,conduc_campo_sup,conduc_campo_med,conduc_campo_fon,ph_campo,ph_campo_sup,ph_campo_med,ph_campo_fon,od__,od_mg_l,od___sup,od_mg_l_sup,od___med,od_mg_l_med,cloruros_tot,fe_tot,mn_tot,saam,so4_tot,sst,triclorofluorometano,turbiedad,as_tot,cd_tot,cr_tot,hg_tot,ni_tot,pb_tot,cn_tot,pot_redox_campo_fon,pot_redox_campo_med,pot_redox_campo_sup,ca_tot,dur_tot,temp_amb,temp_agua,temp_agua_sup,temp_agua_med,temp_agua_fon,temp_agua_0_5,temp_agua_1,temp_agua_2,profundidad,caudal,nombre_del_sitio_sitio,estado,latitud,longitud,clasificacion_cdmx,temp_amb_raw,temp_agua_raw,fecha_realizacion
OCAVM2691,OCAVM2691-220215,LAGO LOS REYES,LÉNTICO,42287,2015.0,,,,,129.8912,930,,<3,26.9,22.182,2.3,10,57.42,106.1,0.071182,0.021393,0.054062,6.053114,6.199751,6.124296,,<1,,<1,,<1,,,,,,,1.771494,,0.963775,125,0.2,0.8709,677.12,,1058.0,,,,9.6,,,,,145.6,9.71,,,,,,,,40,,4.92,<0.0015,0.000408,0.001838,0.000148,0.002869,<0.00154,,,,-3.4,,316.25,22.7,,21.2,,,21.2,,,0.45,,LAGO LOS REYES,CIUDAD DE MÉXICO,19.266313,-99.006995,cdmx_local,22.7,,
OCAVM2691,OCAVM2691-080516,LAGO LOS REYES,LÉNTICO,42500,2016.0,,,,,607.0475,11000,,11000,67.56,40.52,2.1,21.1,52.44,56.32,0.18685,0.032199,0.413939,6.965318,7.598306,7.152168,,<1,,5,,4.49,,,,,,,1.445133,,1.388647,60,0.2,0.6038,656,,1025.0,,,,9.7,,,,,84.6,5.8,,,,,,,,54,,33.5,0.0055,<0.001301,<0.0012,9.4e-05,0.001747,<0.00154,,,,-175.4,,227.8,26.8,,22.3,,,22.3,,,0.7,,LAGO LOS REYES,CIUDAD DE MÉXICO,19.266313,-99.006995,cdmx_local,26.8,,
OCAVM2691,OCAVM2691-290418,LAGO LOS REYES,LÉNTICO,43219,2018.0,,,,,0.474,4106,,1565,,,,,,,0.274109,0.007442,<0.031,8.09743,8.378981,8.371538999999999,,<1,,<1,<1,,<1,<1,,,,,2.353099,,1.174648,150,0.5,0.07416,1265.92,,1978.0,,,,8.3,,,,,51.2,3.4,,,,,,,,66,,13,<0.0015,<0.001301,0.0088,<0.0002013,0.008,<0.00154,,,,,,505.3,21.6,,21.1,,,21.1,21.1,,1,,LAGO LOS REYES,CIUDAD DE MÉXICO,19.266313,-99.006995,cdmx_local,21.6,,
OCAVM2691,OCAVM2691-231218,LAGO LOS REYES,LÉNTICO,43452,2018.0,,,,,60.416,6630,,6200,161.1,119.2,15.5,142,178.95,466.43,0.395683,0.005452,<0.031,14.40018,14.801315,14.795863,,<1,,<1,<1,,,,,,,,3.193323,,1.286093,300,0.3,1.70393,1523.2,,2380.0,,,,8.9,,,,,30.7,2.2,,,,,,,,120,,16,0.0242,<0.001301,0.0126,<0.0002013,0.0112,<0.00154,,,,-105.7,,,24.2,,16.2,,,16.2,16.2,,1,,LAGO LOS REYES,CIUDAD DE MÉXICO,19.266313,-99.006995,cdmx_local,24.2,,
OCAVM2691,OCAVM2691-080223,LAGO LOS REYES,LÉNTICO,44965,2023.0,,438.595,,,,,,,,,,120,,236.84,,,,,,,,,,,,,,,,,,,,,3.381,,,,142,1513,,,,9.43,,,,,,,,,,,,,0.14,1797.297,110,,,,,,,,,,,,,,400,26.0,21.6,,,,,,,,,LAGO LOS REYES,CIUDAD DE MÉXICO,19.266313,-99.006995,cdmx_local,26.0,21.6,
OCAVM2763W1,OCAVM2763-111112,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,41245,2012.0,,,,,0.6897,11000,,,256.0085,71.035,120.61,161.46,162.5323,322.6465,25.2,<0.005,0.3051,7.0000000000000036,32.5051,32.2,,1.62,1.5,<1,<1,<1,<1,<1,<1,,,,<0.0014,<0.00306,<0.0015,300,0.25,0.4162,602.24,,941.0,939,939,,7.33,7.33,7.3,,,10.3,5.2,10.2,5.1,,,,,,60,,16.4,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,357,357.0,358.0,,162.66,15.5,,,,,19.7,19.5,19.3,,,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,15.5,,
OCAVM2763W1,OCAVM2763-140413,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,41373,2013.0,,,,,0.9728,>24000,,>24000,76.136,33.058,102.7,178.87,114.97,428.41,0.56,<0.005,0.4552,3.08,4.0952,3.64,,<1,<1,<1,<1,<1,<1,<1,<1,,,,6.1097,,18.7323,60,0.05,0.6044,635.52,,993.0,993,992,,7.04,,7.03,,,<10,<1,,,,,,,,56,,34.8,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,457,462.0,460.0,,291.62,26.1,,21.7,21.8,21.7,21.7,21.8,21.7,,,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,26.1,,
OCAVM2763W1,OCAVM2763-160214,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,41683,2014.0,,,,,0.7,90,,90,53.345,53.32,56,108,119.66,341.69,27.292,<0.005,0.06,0.441,27.793,27.733,,<1,<1,,,,8.9,,,,,,5.628,,5.215,30,0.2,0.835,457.6,,715.0,715,715,,7.1,7.1,7.0,,,82.8,5.6,82.8,5.6,,,,,,100,,19.2,<0.0015,<0.001301,<0.0012,0.0051,<0.00042,<0.00154,,80,73.0,63.3,,283.1,26.3,,19.2,19.2,19.2,19.2,19.2,19.2,2.1,,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,26.3,,
OCAVM2763W1,OCAVM2763-220215,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,42052,2015.0,,,,,0.8028,<3,,<3,48.16,28.41,,,14.52,16.94,2.1101,<0.005,<0.031,27.0756,29.1857,29.1857,,<1,,3.1,,2.8,,,,,,,4.4535,,0.3453,30,0,0.2404,542.72,,848.0,,,,6.9,,,,,22.69,1.9,,,,,,,,64,,5.73,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,286.0,,223.1,24.5,,19.2,,,20.0,,,0.7,,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,24.5,,
OCAVM2763W1,OCAVM2763W1-170416,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,42474,2016.0,,,,,,>24000,>24000,>24000,34.3,20.215,68.19,119.47,139.52,361,23.0368,<0.005,<0.031,2.0025,25.0393,25.0393,2.14,,,,,,,,,3.03,,2.59,10.5696,,3.9452,75,,0.2671,620.8000000000001,970,,,,7.4,,,,86.96,6.3,,,,,,,,1.038,,100,,11,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,316.85,26.1,20.8,,,,,,,,1957,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,26.1,20.8,
OCAVM2763W1,OCAVM2763W1-220516,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,42509,2016.0,,,,,,<3,<3,<3,44.15,32.22,,100.21,,205.7,2.5076,0.0144,,13.3148,,15.8224,1.17,,,,,,,,,2.57,,2.01,3.4222,,0.1917,60,,0.1801,197.76,309,,,,7.1,,,,11.5,1.2,,,,,,,,2.1012,,64,,10,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,395.09,22.7,21.1,,,,,,,,1650,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,22.7,21.1,
OCAVM2763W1,OCAVM2763W1-260616,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,42543,2016.0,,,,,,>24000,>24000,>24000,29.94,25.58,62.45,108.27,88.32,183.51,10.5306,0.0359,0.3696,12.1519,23.088,22.682499999999997,<1,,,,,,,,,3.6,,3.6,6.8043,,3.577,50,,0.2575,467.84000000000003,731,,,,7.4,,,,,,,,,,,,,1.824,,100,,9.31,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,586.89,23.9,20.5,,,,,,,,1310,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,23.9,20.5,
OCAVM2763W1,OCAVM2763W1-040916,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,LÓTICO,42619,2016.0,,,,,,>24000,>24000,>24000,20.03,18.98,41.51,138.09,111.27,444.02,3.8872,0.0236,0.2246,2.6006,6.736,6.4878,<1,,,,,,,,,9.58,,10.17,0.6362,,0.6032,50,,0.1788,175.36,274,,,,7.5,,,,,,,,,,,,,0.406,,240,,5.01,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,,,,,307.7,23.2,18.7,,,,,,,,1340.8,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,19.3374,-99.079815,cdmx_local,23.2,18.7,
