clave_entidad,entidad,clave_municipio,municipio,cve_alcaldia,anio,periodo,grupo,poblacion,pobreza_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,ingreso_inferior_a_lpi_porcentaje
9,Ciudad de México,9008,La Magdalena Contreras,008,2020,2020-01-01,Jóvenes (18 a 29 años),46262,46.893323,7.128932,55.557253
9,Ciudad de México,9009,Milpa Alta,009,2020,2020-01-01,Jóvenes (18 a 29 años),32843,53.621373,12.331826,56.793703
9,Ciudad de México,9010,Álvaro Obregón,010,2020,2020-01-01,Jóvenes (18 a 29 años),135676,40.830595,6.038086,48.562796
9,Ciudad de México,9011,Tláhuac,011,2020,2020-01-01,Jóvenes (18 a 29 años),75496,42.939172,6.576059,49.290605
9,Ciudad de México,9012,Tlalpan,012,2020,2020-01-01,Jóvenes (18 a 29 años),126983,42.465142,7.303772,47.73986
9,Ciudad de México,9013,Xochimilco,013,2020,2020-01-01,Jóvenes (18 a 29 años),84313,51.652781,11.145676,57.291581
9,Ciudad de México,9014,Benito Juárez,014,2020,2020-01-01,Jóvenes (18 a 29 años),59504,9.038115,5.763101,11.550413
9,Ciudad de México,9015,Cuauhtémoc,015,2020,2020-01-01,Jóvenes (18 a 29 años),88036,22.963071,4.700228,26.42362
9,Ciudad de México,9016,Miguel Hidalgo,016,2020,2020-01-01,Jóvenes (18 a 29 años),57107,14.841769,2.759828,19.324986
9,Ciudad de México,9017,Venustiano Carranza,017,2020,2020-01-01,Jóvenes (18 a 29 años),74781,32.568643,3.670033,40.109994
9,Ciudad de México,9002,Azcapotzalco,002,2015,2015-01-01,Jóvenes (18 a 29 años),71399,18.840642,3.593585,28.717484
9,Ciudad de México,9003,Coyoacán,003,2015,2015-01-01,Jóvenes (18 a 29 años),103648,20.665424,3.98718,27.008794
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2015,2015-01-01,Jóvenes (18 a 29 años),39445,29.259069,6.573535,35.378493
9,Ciudad de México,9005,Gustavo A. Madero,005,2015,2015-01-01,Jóvenes (18 a 29 años),229285,29.019336,4.945315,38.482995
9,Ciudad de México,9006,Iztacalco,006,2015,2015-01-01,Jóvenes (18 a 29 años),63719,17.78141,2.288725,22.296591
9,Ciudad de México,9007,Iztapalapa,007,2015,2015-01-01,Jóvenes (18 a 29 años),377717,35.052203,7.319803,42.32673
9,Ciudad de México,9008,La Magdalena Contreras,008,2015,2015-01-01,Jóvenes (18 a 29 años),48424,33.138329,7.134995,41.741777
9,Ciudad de México,9009,Milpa Alta,009,2015,2015-01-01,Jóvenes (18 a 29 años),32878,50.109302,11.44558,54.697696
9,Ciudad de México,9010,Álvaro Obregón,010,2015,2015-01-01,Jóvenes (18 a 29 años),138565,27.174867,5.891566,34.263667
9,Ciudad de México,9011,Tláhuac,011,2015,2015-01-01,Jóvenes (18 a 29 años),81187,40.676279,5.930059,50.902087
9,Ciudad de México,9012,Tlalpan,012,2015,2015-01-01,Jóvenes (18 a 29 años),128763,34.116488,7.77025,40.771848
9,Ciudad de México,9013,Xochimilco,013,2015,2015-01-01,Jóvenes (18 a 29 años),93491,43.314068,11.450374,51.104266
9,Ciudad de México,9014,Benito Juárez,014,2015,2015-01-01,Jóvenes (18 a 29 años),54589,,5.763101,
9,Ciudad de México,9015,Cuauhtémoc,015,2015,2015-01-01,Jóvenes (18 a 29 años),91208,16.322099,3.091663,20.244542
9,Ciudad de México,9016,Miguel Hidalgo,016,2015,2015-01-01,Jóvenes (18 a 29 años),48604,6.813824,5.763101,9.229001
9,Ciudad de México,9017,Venustiano Carranza,017,2015,2015-01-01,Jóvenes (18 a 29 años),73780,24.734785,3.877851,31.630508
9,Ciudad de México,9002,Azcapotzalco,002,2010,2010-01-01,Jóvenes (18 a 29 años),74683,16.955097,5.763101,22.545351
9,Ciudad de México,9003,Coyoacán,003,2010,2010-01-01,Jóvenes (18 a 29 años),105683,17.692247,5.893599,19.944035
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2010,2010-01-01,Jóvenes (18 a 29 años),40257,33.625185,11.765863,37.434775
9,Ciudad de México,9005,Gustavo A. Madero,005,2010,2010-01-01,Jóvenes (18 a 29 años),249252,29.730496,7.6972,36.229695
9,Ciudad de México,9006,Iztacalco,006,2010,2010-01-01,Jóvenes (18 a 29 años),77634,25.119006,5.734288,30.73332
9,Ciudad de México,9007,Iztapalapa,007,2010,2010-01-01,Jóvenes (18 a 29 años),380914,34.82886,9.098732,38.79016
9,Ciudad de México,9008,La Magdalena Contreras,008,2010,2010-01-01,Jóvenes (18 a 29 años),52685,29.75002,14.389893,36.730604
9,Ciudad de México,9009,Milpa Alta,009,2010,2010-01-01,Jóvenes (18 a 29 años),31266,50.175301,21.864712,52.300311
9,Ciudad de México,9010,Álvaro Obregón,010,2010,2010-01-01,Jóvenes (18 a 29 años),153499,27.201557,10.185482,31.557749
9,Ciudad de México,9011,Tláhuac,011,2010,2010-01-01,Jóvenes (18 a 29 años),79814,40.633219,10.736365,45.956383
9,Ciudad de México,9012,Tlalpan,012,2010,2010-01-01,Jóvenes (18 a 29 años),132351,27.766138,9.665268,30.182989
9,Ciudad de México,9013,Xochimilco,013,2010,2010-01-01,Jóvenes (18 a 29 años),87640,36.806077,14.425108,39.68008
9,Ciudad de México,9014,Benito Juárez,014,2010,2010-01-01,Jóvenes (18 a 29 años),59813,,5.763101,
9,Ciudad de México,9015,Cuauhtémoc,015,2010,2010-01-01,Jóvenes (18 a 29 años),107184,19.088064,5.211672,22.634163
9,Ciudad de México,9016,Miguel Hidalgo,016,2010,2010-01-01,Jóvenes (18 a 29 años),61743,8.600028,5.763101,10.590419
9,Ciudad de México,9017,Venustiano Carranza,017,2010,2010-01-01,Jóvenes (18 a 29 años),84957,26.707552,6.790071,31.251046
9,Ciudad de México,9002,Azcapotzalco,002,2020,2020-01-01,Adultos (30 a 64 años),194663,21.099137,2.616916,32.070605
9,Ciudad de México,9003,Coyoacán,003,2020,2020-01-01,Adultos (30 a 64 años),267628,24.659597,2.305226,34.508836
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2020,2020-01-01,Adultos (30 a 64 años),91643,28.387859,4.067174,36.809198
9,Ciudad de México,9005,Gustavo A. Madero,005,2020,2020-01-01,Adultos (30 a 64 años),522249,30.628039,2.736433,42.131382
9,Ciudad de México,9006,Iztacalco,006,2020,2020-01-01,Adultos (30 a 64 años),178143,21.415609,2.32163,29.894766
9,Ciudad de México,9007,Iztapalapa,007,2020,2020-01-01,Adultos (30 a 64 años),790907,39.877649,4.649308,50.109648
