id_colonia,cve_alcaldia,nom_alcaldia,nom_colonia,centroide_lat,centroide_lon,pob_colonia,pob_menores_estim,pobreza_pct_promedio,pct_aguadv,pct_drenaje,pct_excede_nom_local,antiguedad_red_proxy,antiguedad_red_anos_estim,n_fugas_total,fugas_por_10k_hab_total,lag_promedio_dias,dist_planta_km,planta_cercana_id,tasa_morbilidad_estimada_por_100k,casos_morbilidad_estimados,factor_riesgo_morbilidad,IVH,estres_score,riesgo_infantil,score_priorizacion,rank,d_urgencia,d_magnitud,d_remediabilidad,d_equidad,d_retorno,causa_raiz,intervencion,flag_top_100,flag_top_200,flag_critico_ivh,flag_estres_alto,flag_red_40plus,flag_pob_infantil_alta
09-011,009,MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),19.173721,-98.999481,12412,2951.0,53.44,89.37,98.28,77.8,0.5,30.0,50,40.28,0.0,12.69,PLANTA_033,22351.34,2774.2,4.468497697639211,0.8252,0.10291684549697276,0.35475505496582,0.4155,11,0.3812686647275411,0.36779608284072035,0.2600311613136653,1.0,0.3812721037723374,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-054,013,XOCHIMILCO,SAN MARCOS (AMPL),19.287834,-99.094161,17209,3465.0,46.88,91.49,99.18,100.0,0.6507,38.0,348,202.22,1.29,3.65,PLANTA_044,15953.95,2745.5,3.1895273921257523,0.7876,0.29876755334000005,0.3959242408825966,0.4121,12,0.3194683302062683,0.48685220052260886,0.3022907174078705,0.8533750558784088,0.3278703219245134,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
12-147,012,TLALPAN,SAN ANDRES TOTOLTEPEC (PBLO),19.248051,-99.170955,27347,5046.0,38.69,95.66,99.47,59.5,0.686,39.0,3201,1170.51,2.57,6.66,PLANTA_044,9300.26,2543.3,1.859316331252085,0.6968,0.32117890353657735,0.5038575825964811,0.401,13,0.27112605342690577,0.6846512450380731,0.1923833265791575,0.670317389360751,0.2946536472611795,ambas,Intervención dual: red + planta (proyecto integral),1,1,0,0,0,1
12-157,012,TLALPAN,SAN MIGUEL TOPILEJO (PBLO),19.196055,-99.157927,28008,5168.0,38.69,95.66,99.47,59.5,0.686,39.0,1859,663.74,1.06,8.62,PLANTA_044,9300.26,2604.8,1.859316331252085,0.6833,0.2693786364629849,0.5049275404450775,0.3994,14,0.27768872654004406,0.6876165438570186,0.16532509556166083,0.670317389360751,0.30178582896799183,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,0,0,1
13-030,013,XOCHIMILCO,NATIVITAS LA JOYA (AMPL),19.228294,-99.087505,16013,3225.0,46.88,91.49,99.18,71.4,0.6507,38.0,34,21.23,0.0,3.95,PLANTA_044,15953.95,2554.7,3.1895273921257523,0.7169,0.10904044661863353,0.33210459758419697,0.3808,15,0.2973218190094859,0.4122822272392333,0.28903173258203135,0.8533750558784088,0.3050643686756034,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-062,013,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),19.254922,-99.133305,14451,2910.0,46.88,91.49,99.18,59.5,0.6507,38.0,535,370.22,0.51,2.64,PLANTA_044,15953.95,2305.5,3.1895273921257523,0.7742,0.38996720335068374,0.32616586431142297,0.3798,16,0.268254523063709,0.4017927048575349,0.3629942839250709,0.8533750558784088,0.27527797690606265,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-052,013,XOCHIMILCO,SAN LUCAS XOCHIMANCA (PBLO),19.241772,-99.111301,12986,2615.0,46.88,91.49,99.18,59.5,0.6507,38.0,529,407.36,2.3,1.82,PLANTA_044,15953.95,2071.8,3.1895273921257523,0.7765,0.44688006815060355,0.29397934071684373,0.3738,17,0.24103276971766394,0.362088401777396,0.44426059216539276,0.8533750558784088,0.24734427001785372,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-073,013,XOCHIMILCO,XALTOCAN (BARR),19.252834,-99.100543,10717,2158.0,46.88,91.49,99.18,100.0,0.6507,38.0,621,579.45,0.87,0.99,PLANTA_044,15953.95,1709.8,3.1895273921257523,0.8126,0.5831382848054242,0.25486860770666747,0.3725,18,0.19886212131379077,0.31265303987567006,0.5947212922852975,0.8533750558784088,0.20407511343449192,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,1,0,1
13-035,013,XOCHIMILCO,SAN ANDRES AHUAYUCAN (PBLO),19.217244,-99.106599,15226,3066.0,46.88,91.49,99.18,71.4,0.6507,38.0,246,161.57,2.48,4.52,PLANTA_044,15953.95,2429.1,3.1895273921257523,0.7643,0.26280556280062023,0.33885589823348733,0.3713,19,0.2826497553416175,0.417945279686705,0.2678101508906748,0.8533750558784088,0.2900516447339729,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-065,013,XOCHIMILCO,SANTA MARIA TEPEPAN (PBLO),19.272712,-99.137181,14016,2822.0,46.88,91.49,99.18,59.5,0.6507,38.0,1101,785.53,3.12,3.45,PLANTA_044,15953.95,2236.1,3.1895273921257523,0.7921,0.4346512165604148,0.3243272491277492,0.3652,20,0.26013413562488874,0.398704669255541,0.31212322300905465,0.8533750558784088,0.2669827297599706,ambas,Intervención dual: red + planta (proyecto integral),1,1,1,0,0,1
13-053,013,XOCHIMILCO,SAN LUIS TLAXIALTEMALCO (PBLO),19.254419,-99.036263,15418,3105.0,46.88,91.49,99.18,20.0,0.6507,38.0,279,180.96,0.12,4.75,PLANTA_033,15953.95,2459.8,3.1895273921257523,0.6999,0.2693420740846199,0.3113079458007289,0.3639,21,0.28624856341109467,0.387522693253879,0.2604384435663087,0.8533750558784088,0.29372115607957844,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,0,0,1
13-056,013,XOCHIMILCO,SAN MATEO XALPA (PBLO),19.23092,-99.1203,12700,2557.0,46.88,91.49,99.18,59.5,0.6507,38.0,312,245.67,1.83,3.25,PLANTA_044,15953.95,2026.2,3.1895273921257523,0.7645,0.3273102028552054,0.28255368917025675,0.3437,22,0.2356806961784415,0.34862471094045866,0.3228811409021148,0.8533750558784088,0.2418937906250324,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-058,013,XOCHIMILCO,SANTA CECILIA TEPETLAPA (PBLO),19.212486,-99.086083,13438,2706.0,46.88,91.49,99.18,71.4,0.6507,38.0,469,349.01,7.37,5.56,PLANTA_044,15953.95,2143.9,3.1895273921257523,0.7826,0.31488778117087657,0.3068668500271622,0.3404,23,0.2494299885464439,0.3776543006799081,0.23859301820263878,0.8533750558784088,0.255962242917468,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-057,013,XOCHIMILCO,SAN PEDRO (BARR),19.256863,-99.108358,2918,588.0,46.88,91.49,99.18,59.5,0.6507,38.0,148,507.2,5.42,0.11,PLANTA_044,15953.95,465.5,3.1895273921257523,0.7817,0.8118819138692008,0.06597414243241823,0.3302,24,0.053987027234839176,0.08155951633093109,1.0,0.8533750558784088,0.05534635228345045,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,1,0,0
13-050,013,XOCHIMILCO,SAN LORENZO ATEMOAYA (PBLO),19.239932,-99.100882,10180,2050.0,46.88,91.49,99.18,83.3,0.6507,38.0,127,124.75,0.24,2.14,PLANTA_044,15953.95,1624.1,3.1895273921257523,0.7664,0.2966924580136221,0.22699539511609804,0.3223,25,0.1888961912752387,0.2800549800962054,0.4074969616549349,0.8533750558784088,0.19383155896158002,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
11-038,011,TLAHUAC,SAN PEDRO TLAHUAC (PBLO),19.270266,-99.009968,18336,3928.0,41.5,97.6,99.5,77.8,0.8101,46.0,890,485.38,0.54,1.94,PLANTA_033,6937.08,1272.0,1.3868676118819157,0.7041,0.5229010396595911,0.39663902096420955,0.3219,26,0.157282388605676,0.4637188516134224,0.321431769436505,0.7331247206079571,0.13324704582758864,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,1,1,1
13-075,013,XOCHIMILCO,SAN LORENZO LA CEBADA I,19.28507,-99.119101,10873,2190.0,46.88,91.49,99.18,59.5,0.6507,38.0,115,105.77,0.0,3.23,PLANTA_044,15953.95,1734.7,3.1895273921257523,0.7445,0.24773080689773835,0.23491426520483022,0.3141,27,0.20181498947336174,0.29058912030781864,0.3240128840374368,0.8533750558784088,0.20705136205030883,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
11-032,011,TLAHUAC,SAN FRANCISCO TLALTENCO (PBLO),19.306581,-99.012857,17494,3748.0,41.5,97.6,99.5,77.8,0.8101,46.0,1557,890.02,1.69,2.18,PLANTA_033,6937.08,1213.6,1.3868676118819157,0.7185,0.582163093455926,0.38703542050054257,0.3105,28,0.15006009632572453,0.45146104301860607,0.2953171343251583,0.7331247206079571,0.12711591797040997,ambas,Intervención dual: red + planta (proyecto integral),1,1,1,1,1,1
11-057,011,TLAHUAC,LA CONCHITA II,19.283628,-99.032321,19875,4258.0,41.5,97.6,99.5,20.0,0.8101,46.0,492,247.55,2.55,2.62,PLANTA_033,6937.08,1378.7,1.3868676118819157,0.6164,0.39799731200261634,0.37047130377362797,0.3087,29,0.170523257785587,0.4400103677311658,0.2564337411621312,0.7331247206079571,0.1444489523748655,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,0,1,1
07-266,007,IZTAPALAPA,CONSTITUCION DE 1917 I,19.349581,-99.064249,8945,1788.0,42.87,99.59,99.77,50.0,0.8908,50.0,529,591.39,1.66,0.16,PLANTA_030,3517.42,314.6,0.7032058224701064,0.6812,1.0,0.17364710670523423,0.3063,30,0.03603236460163203,0.21862482110083814,0.7976613251474045,0.7637460885113994,0.03081790416774355,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,1,1,1
13-007,013,XOCHIMILCO,CALTONGO (BARR),19.257876,-99.086617,9088,1830.0,46.88,91.49,99.18,83.3,0.6507,38.0,269,295.99,6.78,2.28,PLANTA_044,15953.95,1449.9,3.1895273921257523,0.7869,0.3829263212818533,0.20852083219192252,0.3045,31,0.16859522267818816,0.25666370345792283,0.3936685686237527,0.8533750558784088,0.17300977145654797,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
08-045,008,LA MAGDALENA CONTRERAS,SAN JERONIMO ACULCO - LIDICE (PBLO),19.324956,-99.225003,23423,4481.0,42.17,98.68,99.51,100.0,0.8272,46.0,2728,1164.67,6.6,14.34,PLANTA_044,5602.89,1312.4,1.1201350691480034,0.738,0.4015520846011518,0.47680535520412254,0.3004,32,0.14488367702416138,0.6210424128678138,0.030132216892700892,0.7481001341081807,0.13571321717068305,ambas,Intervención dual: red + planta (proyecto integral),1,1,1,0,1,1
07-130,007,IZTAPALAPA,LOS ANGELES,19.345259,-99.068839,13375,2673.0,42.87,99.59,99.77,50.0,0.8908,50.0,699,522.62,1.91,0.53,PLANTA_030,3517.42,470.5,0.7032058224701064,0.6783,0.8108523859951644,0.258699467313215,0.2985,33,0.054037373954383995,0.32572661412352133,0.5855814423537783,0.7637460885113994,0.04623538458981065,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,1,1,1
11-045,011,TLAHUAC,SELENE 2da SECC,19.28497,-99.004829,8585,1839.0,41.5,97.6,99.5,77.8,0.8101,46.0,143,166.57,,0.42,PLANTA_033,6937.08,595.5,1.3868676118819157,0.6787,0.5723412298508818,0.17788802763728992,0.2959,34,0.07346367431223941,0.20903632002090689,0.6918182139030691,0.7331247206079571,0.062224648646400725,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,1,1,1
13-015,013,XOCHIMILCO,JARDINES DEL SUR,19.258507,-99.115829,5022,1011.0,46.88,91.49,99.18,59.5,0.6507,38.0,498,991.64,0.19,0.79,PLANTA_044,15953.95,801.2,3.1895273921257523,0.7977,0.6996960373691957,0.11657286998362916,0.2937,35,0.09302025321916817,0.14358041395624435,0.651839038039909,0.8533750558784088,0.09547192097139116,ambas,Intervención dual: red + planta (proyecto integral),1,1,1,1,0,0
07-284,007,IZTAPALAPA,LOMAS DE SAN LORENZO II,19.320756,-99.067174,26104,5217.0,42.87,99.59,99.77,50.0,0.8908,50.0,28,10.73,0.0,3.13,PLANTA_030,3517.42,918.2,0.7032058224701064,0.5877,0.09094487292600739,0.43016330733818414,0.2936,36,0.10579414660229475,0.5511188598567552,0.16700090017356972,0.7637460885113994,0.09050995793785066,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,0,1,1
17-042,017,VENUSTIANO CARRANZA,MOCTEZUMA 1A SECCION,19.428154,-99.106013,10771,1895.0,29.9,99.6,99.59,0.0,0.7336,42.0,1236,1147.53,0.12,0.09,PLANTA_037,3553.95,382.8,0.7105078100882739,0.3682,0.6816089096188918,0.08968752950031203,0.2928,37,0.03860984412490948,0.14213627753581645,0.9605936558302404,0.4738489047831918,0.04238654597287822,fugas,Reemplazo de red secundaria (cuadrillas + tubería),1,1,0,1,1,1
12-163,012,TLALPAN,SANTO TOMAS AJUSCO (PBLO),19.21338,-99.217839,17779,3280.0,38.69,95.66,99.47,100.0,0.686,39.0,674,379.1,0.02,12.51,PLANTA_044,9300.26,1653.5,1.859316331252085,0.6977,0.2205087199308513,0.32774296796419855,0.2862,38,0.1761286704941013,0.44552767339466626,0.13487656412913335,0.670317389360751,0.1914631548592013,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,0,0,1
12-003,012,TLALPAN,AMPLIACION MIGUEL HIDALGO 3A SECC,19.280003,-99.20677,17283,3189.0,38.69,95.66,99.47,100.0,0.686,39.0,676,391.14,,10.62,PLANTA_044,9300.26,1607.4,1.859316331252085,0.6985,0.22791777052860648,0.31903726315691955,0.2834,39,0.17123356186053096,0.43358286552803016,0.14712406552951846,0.670317389360751,0.18611691783994844,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,0,0,1
09-004,009,MILPA ALTA,SAN FRANCISCO TECOXPA (PBLO),19.200226,-99.002302,5866,1395.0,53.44,89.37,98.28,77.8,0.5,30.0,122,207.98,1.49,9.73,PLANTA_033,22351.34,1311.1,4.468497697639211,0.8639,0.20463566180713813,0.1758354847762816,0.2826,40,0.18010987707941198,0.18174782154973448,0.280530304625169,1.0,0.18003596173150305,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
12-155,012,TLALPAN,SAN MIGUEL AJUSCO (PBLO),19.22793,-99.197019,16811,3102.0,38.69,95.66,99.47,100.0,0.686,39.0,1539,915.47,0.2,9.89,PLANTA_044,9300.26,1563.5,1.859316331252085,0.7187,0.2828064738464907,0.32030059130804805,0.2825,41,0.16655362283722747,0.4339384491391685,0.15299268598423488,0.670317389360751,0.18102581577606122,ambas,Intervención dual: red + planta (proyecto integral),1,1,1,0,0,1
13-055,013,XOCHIMILCO,SAN MARCOS (BARR),19.263169,-99.111159,3796,764.0,46.88,91.49,99.18,59.5,0.6507,38.0,92,242.36,2.35,0.66,PLANTA_044,15953.95,605.6,3.1895273921257523,0.7642,0.512552985133557,0.08384338890320255,0.2824,42,0.0702278021124796,0.10384695289056088,0.6963461489637582,0.8533750558784088,0.0720922330495526,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,1,0,0
07-196,007,IZTAPALAPA,SAN MIGUEL (BARR),19.358418,-99.07812,20369,4071.0,42.87,99.59,99.77,15.8,0.8908,50.0,513,251.85,2.04,1.7,PLANTA_030,3517.42,716.5,0.7032058224701064,0.6008,0.4880351154295398,0.3440477135551049,0.2817,43,0.08247918533873118,0.4395338162308002,0.29745850248640143,0.7637460885113994,0.07056315998319425,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,1,1,1
12-002,012,TLALPAN,AMPLIACION MIGUEL HIDALGO 2A SECC,19.282482,-99.197828,16800,3100.0,38.69,95.66,99.47,100.0,0.686,39.0,612,364.29,0.0,9.78,PLANTA_044,9300.26,1562.4,1.859316331252085,0.6968,0.22668706796174234,0.30927396367749865,0.2793,44,0.16644603803209404,0.42042634022685155,0.1539459061363708,0.670317389360751,0.18089824829837842,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,0,0,1
09-003,009,MILPA ALTA,SAN BARTOLOME XICOMULCO (PBLO),19.205927,-99.066893,5375,1278.0,53.44,89.37,98.28,71.4,0.5,30.0,275,511.63,0.01,7.23,PLANTA_044,22351.34,1201.4,4.468497697639211,0.8807,0.2774592823331935,0.1644243208279431,0.2785,45,0.16498418417784955,0.16974397505416772,0.3093299819689431,1.0,0.16494772115882894,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,0
11-044,011,TLAHUAC,SELENE 1a SECC,19.292384,-99.003029,9055,1940.0,41.5,97.6,99.5,77.8,0.8101,46.0,197,217.56,0.0,0.73,PLANTA_033,6937.08,628.2,1.3868676118819157,0.685,0.5521254620737466,0.18964036094724931,0.2753,46,0.07751618275821218,0.22255597189915144,0.5634449991605885,0.7331247206079571,0.06565766030615659,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,1,1,1
13-069,013,XOCHIMILCO,TEPEPAN (AMPL),19.263371,-99.133636,7367,1484.0,46.88,91.49,99.18,59.5,0.6507,38.0,511,693.63,5.02,2.72,PLANTA_044,15953.95,1175.3,3.1895273921257523,0.7892,0.45198737079061296,0.16948681796276893,0.2707,47,0.13666733570282683,0.20858319917304358,0.356984029814457,0.8533750558784088,0.14018736704276027,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
12-154,012,TLALPAN,SAN MIGUEL  XICALCO (PBLO),19.229927,-99.164423,15394,2840.0,38.69,95.66,99.47,59.5,0.686,39.0,966,627.52,0.78,6.66,PLANTA_044,9300.26,1431.7,1.859316331252085,0.682,0.279703190605773,0.2765788886462753,0.2697,48,0.1524600133647502,0.3770117895478854,0.1923833265791575,0.670317389360751,0.16574091254097387,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,0,0,1
09-007,009,MILPA ALTA,SAN LORENZO TLACOYUCAN (PBLO),19.175971,-99.031964,5414,1287.0,53.44,89.37,98.28,77.8,0.5,30.0,19,35.09,0.0,12.14,PLANTA_044,22351.34,1210.1,4.468497697639211,0.822,0.0965882132884438,0.15358707022587714,0.2673,49,0.1661476990164313,0.1595528995750657,0.2631415240973268,1.0,0.16614432729358064,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,0
13-076,013,XOCHIMILCO,SAN LORENZO LA CEBADA II,19.279519,-99.120593,7308,1472.0,46.88,91.49,99.18,59.5,0.6507,38.0,103,140.94,,2.73,PLANTA_044,15953.95,1165.9,3.1895273921257523,0.7513,0.28810926490079974,0.15924098722040492,0.2672,50,0.1355600101429877,0.19695106845644975,0.3562508754926529,0.8533750558784088,0.13906380330827522,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-017,013,XOCHIMILCO,LA ASUNCION (BARR),19.271653,-99.098474,6096,1228.0,46.88,91.49,99.18,100.0,0.6507,38.0,29,47.57,0.0,1.85,PLANTA_044,15953.95,972.6,3.1895273921257523,0.7535,0.20861122373468297,0.13314800814691796,0.2658,51,0.11304439042625894,0.16469520334383633,0.44046329611924684,0.8533750558784088,0.11595902991721492,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,0
10-194,010,ALVARO OBREGON,SAN BARTOLO AMEYALCO (PBLO),19.330303,-99.269905,24667,4421.0,37.67,99.54,99.6,100.0,0.7997,45.0,1085,439.86,3.99,18.5,PLANTA_006,3974.97,980.5,0.794679736422145,0.6669,0.25459100126769024,0.4202817750007308,0.2652,52,0.10130243176641039,0.5909945263234555,0.03463510945924426,0.6475189986589184,0.10346759201578268,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,0,1,1
13-021,013,XOCHIMILCO,LA CONCHA,19.252392,-99.116148,3531,711.0,46.88,91.49,99.18,59.5,0.6507,38.0,224,634.38,0.28,1.02,PLANTA_044,15953.95,563.3,3.1895273921257523,0.787,0.5909890825917212,0.08053711772187869,0.2572,53,0.06533711422319016,0.09946044855523223,0.5871291562778157,0.8533750558784088,0.06703619624436973,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,1,0,0
12-095,012,TLALPAN,MIGUEL HIDALGO,19.287725,-99.185751,14008,2585.0,38.69,95.66,99.47,100.0,0.686,39.0,3473,2479.3,2.76,8.78,PLANTA_044,9300.26,1302.8,1.859316331252085,0.7424,0.3518201977148583,0.27655575960298545,0.2568,54,0.13874295071023993,0.3734463611423671,0.16359506718559955,0.670317389360751,0.15079232356523214,ambas,Intervención dual: red + planta (proyecto integral),1,1,1,0,0,1
13-011,013,XOCHIMILCO,EL CARMEN,19.245215,-99.030314,7932,1597.0,46.88,91.49,99.18,77.8,0.6507,38.0,211,266.01,0.29,5.27,PLANTA_033,15953.95,1265.5,3.1895273921257523,0.7807,0.2954501862166328,0.1802948857180873,0.2566,55,0.1470946513913119,0.22219059465637023,0.2457655715713984,0.8533750558784088,0.1509687977715427,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,0,0,1
13-036,013,XOCHIMILCO,SAN ANTONIO (BARR),19.263071,-99.106988,1776,358.0,46.88,91.49,99.18,59.5,0.6507,38.0,46,259.01,6.93,0.6,PLANTA_044,15953.95,283.3,3.1895273921257523,0.7657,0.5344032786022772,0.038959962955195306,0.2561,56,0.0327632873379227,0.04844246598064842,0.7193272245080922,0.8533750558784088,0.03356834032353744,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,1,1,0,0
12-160,012,TLALPAN,SAN PEDRO MARTIR (PBLO),19.265723,-99.171332,14088,2599.0,38.69,95.66,99.47,59.5,0.686,39.0,909,645.23,4.57,6.67,PLANTA_044,9300.26,1310.2,1.859316331252085,0.6826,0.28145874336293475,0.253299059328392,0.2558,57,0.13949604434617383,0.34529253203804666,0.19221017636337623,0.670317389360751,0.1516505047787348,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1,1,0,0,0,1
