consulta,match,score,decision,cve_alcaldia
GENERAL ANDRES FIGUEROA,SAN ANDRES (BARR),52,no_match,002
3ER. ANDADOR OSA MAYOR,EX-HACIENDA EL ROSARIO,50,no_match,002
BOULEVARD FERROCARRILES,HOGARES FERROCARRILEROS (U HAB),55,no_match,002
AVENIDA 16 DE SEPTIEMBRE,SECTOR NAVAL,44,no_match,002
AVENIDA 22 DE FEBRERO,EX-HACIENDA EL ROSARIO,46,no_match,002
CAMPO MORALILLO,COSMOPOLITA (AMPL),48,no_match,002
CALZADA AZCAPOTZALCO - LA VILLA,VILLAS AZCAPOTZALCO (U HAB),72,candidato,002
GLICERINA,LIBERACION,63,no_match,002
DESARROLLO URBANO QUETZALCOATL,EL JAGUEY-ESTACION PANTACO,46,no_match,002
VENUSTIANO CARRANZA,SAN SEBASTIAN,56,no_match,002
CRUZ ROJA TEPATONGO,CRUZ ROJA TEPANTONGO (U HAB),80,candidato,002
CALZADA DE LAS ARMAS,ISSFAM LAS ARMAS (U HAB),62,no_match,002
AVENIDA DE LOS MAESTROS,DEL MAESTRO,64,no_match,002
CALLE 1,AGUILERA,40,no_match,002
3A CERRADA FRANCISCO JAVIER MINA,FRANCISCO VILLA (U HAB),58,no_match,002
AVENIDA CENTRAL,SECTOR NAVAL,51,no_match,002
SERIS,PASTEROS,61,no_match,002
LAZARO CARDENAS,ARENAL,57,no_match,002
ZEMPOALTECAS,COSMOPOLITA,52,no_match,002
NUEVA VALLEJO I SECCION,NUEVA ESPANA,58,no_match,002
CERRADA 2 PINO,EX-HACIENDA EL ROSARIO,44,no_match,002
LIBERATO LARA,LIBERACION,60,no_match,002
ARANGO Y ESCANDON,SAN ALVARO,51,no_match,002
UNIDAD HABITACIONAL EL ROSARIO,NUEVA EL ROSARIO,76,candidato,002
CALZADA ACALOTENCO,CENTRO DE AZCAPOTZALCO,50,no_match,002
INDEPENDENCIA,PROVIDENCIA,58,no_match,002
CALLE INDUSTRIA,INDUSTRIAL VALLEJO (U HAB),53,no_match,002
BEGONIAS,DEL GAS,53,no_match,002
GUANABANA,ALDANA,53,no_match,002
CALLE CAIMITO,SAN MATEO,45,no_match,002
CALLE TEXCOCO,IGNACIO ALLENDE,50,no_match,002
PIRAMIDES,PROVIDENCIA,50,no_match,002
TEBAS,DEL GAS,50,no_match,002
ALHELI,ARENAL,50,no_match,002
TASMANIA,ALDANA,57,no_match,002
SAN LUCAS,LAS SALINAS,70,candidato,002
CAMPO TASAJERAS,PASTEROS,52,no_match,002
AVENIDA PLAN DE SAN LUIS,SAN ANDRES DE LAS SALINAS (PBLO),57,no_match,002
GUSTAVO BAZAN,SECTOR NAVAL,48,no_match,002
CALLE XALPA,SAN PABLO XALPA (U HAB),62,no_match,002
JOSE F. GUTIERREZ,TRABAJADORES DEL HIERRO,45,no_match,002
CALLE NOPATITLA,IGNACIO ALLENDE,53,no_match,002
2A. CERRADA DE TULA,HUAUTLA DE LAS SALINAS (BARR),45,no_match,002
CAMARONES,MONTE ALTO,52,no_match,002
ELECTRICIANS,LIBERACION,54,no_match,002
PENSADOR MEXICANO,SINDICATO MEXICANO DE ELECTRICISTAS,64,no_match,002
WAKE,ARENAL,40,no_match,002
